ZIP,CITY,STATE,COUNTY,AREA
52144,Fort Atkinson,IA,Winneshiek,563
52101,Decorah,IA,Winneshiek,563
52132,Calmar,IA,Winneshiek,563
52133,Castalia,IA,Winneshiek,563
52165,Ridgeway,IA,Winneshiek,563
52168,Spillville,IA,Winneshiek,563
52149,Highlandville,IA,Winneshiek,563
52161,Ossian,IA,Winneshiek,563
50140,Lamoni,IA,Decatur,641
50262,Van Wert,IA,Decatur,641
50108,Grand River,IA,Decatur,641
50264,Weldon,IA,Decatur,641
50067,Decatur,IA,Decatur,641
50103,Garden Grove,IA,Decatur,641
50065,Davis City,IA,Decatur,641
50144,Leon,IA,Decatur,641
50241,Saint Marys,IA,Warren,641
50047,Carlisle,IA,Warren,515
50160,Martensdale,IA,Warren,641
50229,Prole,IA,Warren,515
50210,New Virginia,IA,Warren,641
50211,Norwalk,IA,Warren,515
50166,Milo,IA,Warren,641
50125,Indianola,IA,Warren,515
50061,Cumming,IA,Warren,515
50118,Hartford,IA,Warren,515
50145,Liberty Center,IA,Warren,641
50001,Ackworth,IA,Warren,515
50139,Lacona,IA,Warren,641
50119,Harvey,IA,Marion,641
50057,Columbia,IA,Marion,641
50044,Bussey,IA,Marion,641
50138,Knoxville,IA,Marion,641
50062,Melcher Dallas,IA,Marion,641
50256,Tracy,IA,Marion,641
50116,Hamilton,IA,Marion,641
50252,Swan,IA,Marion,515
50214,Otley,IA,Marion,641
50163,Melcher Dallas,IA,Marion,641
50225,Pleasantville,IA,Marion,515
50219,Pella,IA,Marion,641
50137,Killduff,IA,Jasper,641
50153,Lynnville,IA,Jasper,641
50168,Mingo,IA,Jasper,641
50135,Kellogg,IA,Jasper,641
50028,Baxter,IA,Jasper,641
50112,Grinnell,IA,Jasper,641
50127,Ira,IA,Jasper,641
50170,Monroe,IA,Jasper,641
50232,Reasnor,IA,Jasper,641
50251,Sully,IA,Jasper,641
50054,Colfax,IA,Jasper,515
50208,Newton,IA,Jasper,641
50228,Prairie City,IA,Jasper,515
50424,Buffalo Center,IA,Winnebago,641
50436,Forest City,IA,Winnebago,641
50450,Lake Mills,IA,Winnebago,641
50453,Leland,IA,Winnebago,641
50465,Rake,IA,Winnebago,641
50473,Scarville,IA,Winnebago,641
50478,Thompson,IA,Winnebago,641
52160,New Albin,IA,Allamakee,563
52162,Postville,IA,Allamakee,563
52170,Waterville,IA,Allamakee,563
52151,Lansing,IA,Allamakee,563
52146,Harpers Ferry,IA,Allamakee,563
52172,Waukon,IA,Allamakee,563
52140,Dorchester,IA,Allamakee,563


